Fecha,Anio,Guia,Cliente,Origen,Destino,Tipo_Carga,Peso_kg,Distancia_km,Transportista,Costo_Flete,Dias_Entrega,Estado
2022-01-01,2022,GUI-1001,Corporacion Metalica Peru,Cusco,Huancayo,Documentos y paqueteria,3023.4,961,Logistica Rapida SAC,2759.56,3,Cancelado
2022-01-01,2022,GUI-1002,Constructora Norte,Piura,Trujillo,Carga general,3124.26,643,Transportes Andina SAC,1940.3,1,En transito
2022-01-01,2022,GUI-1003,Grupo Industrial Lima,Chiclayo,Iquitos,Electrodomesticos,923.54,525,Kargia Flota Norte,893.99,1,Entregado
2022-01-01,2022,GUI-1004,Minera Altiplano,Trujillo,Iquitos,Materiales de construccion,469.28,719,Kargia Flota Norte,934.88,2,Entregado
2022-01-01,2022,GUI-1005,Textiles Peruanos SAC,Piura,Huancayo,Carga general,2800.87,844,Envios del Sur EIRL,2686.21,3,Entregado
2022-01-01,2022,GUI-1006,Minera Altiplano,Tacna,Piura,Perecibles,732.33,664,Transportes Andina SAC,836.8,1,Entregado
2022-01-01,2022,GUI-1007,Constructora Norte,Tacna,Huancayo,Electrodomesticos,1029.43,1079,Kargia Flota Norte,1932.77,2,Entregado
2022-01-02,2022,GUI-1008,Agroexportadora del Valle,Piura,Cusco,Documentos y paqueteria,1053.81,506,TransPeru Cargo,1503.42,1,Entregado
2022-01-02,2022,GUI-1009,Minera Altiplano,Piura,Tacna,Materiales de construccion,2662.08,635,Kargia Flota Norte,3059.24,2,Cancelado
2022-01-02,2022,GUI-1010,Corporacion Metalica Peru,Ica,Trujillo,Documentos y paqueteria,764.63,387,Rutas Continentales SAC,588.52,2,Entregado
2022-01-02,2022,GUI-1011,Industrias del Pacifico,Iquitos,Lima,Maquinaria industrial,4586.1,1085,Logistica Rapida SAC,3287.31,3,En transito
2022-01-02,2022,GUI-1012,Farmaceutica Nacional,Tacna,Tacna,Materiales de construccion,2808.47,24,Kargia Flota Norte,2260.13,1,En transito
2022-01-02,2022,GUI-1013,Industrias del Pacifico,Arequipa,Lima,Maquinaria industrial,526.94,1037,Kargia Flota Norte,1627.6,2,Entregado
2022-01-03,2022,GUI-1014,Grupo Industrial Lima,Huancayo,Trujillo,Materiales de construccion,112.64,328,Logistica Rapida SAC,576.14,1,Entregado
2022-01-03,2022,GUI-1015,Agroexportadora del Valle,Trujillo,Arequipa,Textiles,1068.82,639,Rutas Continentales SAC,1482.91,2,Entregado
2022-01-03,2022,GUI-1016,Constructora Norte,Trujillo,Piura,Perecibles,391.1,668,Transportes Andina SAC,1118.07,3,Entregado
2022-01-03,2022,GUI-1017,Comercial Andina SAC,Piura,Cusco,Refrigerado,3970.77,429,Kargia Flota Norte,3475.34,1,Entregado
2022-01-03,2022,GUI-1018,Comercial Andina SAC,Piura,Lima,Carga general,613.37,956,Kargia Flota Norte,1349.76,2,Entregado
2022-01-03,2022,GUI-1019,Agroexportadora del Valle,Lima,Piura,Textiles,524.82,997,TransPeru Cargo,1088.57,1,Entregado
2022-01-03,2022,GUI-1020,Minera Altiplano,Tacna,Piura,Perecibles,4614.5,595,Envios del Sur EIRL,2140.79,2,Entregado
2022-01-03,2022,GUI-1021,Grupo Industrial Lima,Arequipa,Tacna,Textiles,941.6,613,Envios del Sur EIRL,1565.44,1,Entregado
2022-01-04,2022,GUI-1022,Agroexportadora del Valle,Huancayo,Arequipa,Carga general,3934.59,781,Kargia Flota Norte,3962.93,2,Entregado
2022-01-04,2022,GUI-1023,Distribuidora Central,Ica,Huancayo,Refrigerado,2280.68,83,Logistica Rapida SAC,2071.85,1,Entregado
2022-01-04,2022,GUI-1024,Agroexportadora del Valle,Tacna,Arequipa,Textiles,239.64,608,TransPeru Cargo,872.68,1,Entregado
2022-01-04,2022,GUI-1025,Farmaceutica Nacional,Piura,Iquitos,Documentos y paqueteria,2232.99,411,Rutas Continentales SAC,2085.09,3,Retrasado
2022-01-04,2022,GUI-1026,Corporacion Metalica Peru,Chiclayo,Huancayo,Perecibles,4178.55,553,Rutas Continentales SAC,3794.64,1,En transito
2022-01-04,2022,GUI-1027,Corporacion Metalica Peru,Tacna,Trujillo,Textiles,3576.71,916,Kargia Flota Norte,3969.95,1,Entregado
2022-01-05,2022,GUI-1028,Constructora Norte,Iquitos,Huancayo,Materiales de construccion,268.75,840,Logistica Rapida SAC,825.68,1,Entregado
2022-01-05,2022,GUI-1029,Distribuidora Central,Trujillo,Arequipa,Perecibles,4057.78,640,Kargia Flota Norte,3622.26,3,Entregado
2022-01-05,2022,GUI-1030,Minera Altiplano,Lima,Lima,Refrigerado,4310.01,52,Transportes Andina SAC,2173.73,1,Entregado
2022-01-05,2022,GUI-1031,Textiles Peruanos SAC,Ica,Piura,Electrodomesticos,426.91,828,TransPeru Cargo,1227,1,Entregado
2022-01-06,2022,GUI-1032,Constructora Norte,Tacna,Huancayo,Maquinaria industrial,4691.22,1143,Kargia Flota Norte,4358.28,4,Entregado
2022-01-06,2022,GUI-1033,Textiles Peruanos SAC,Ica,Lima,Maquinaria industrial,969.94,277,TransPeru Cargo,996.37,1,Entregado
2022-01-06,2022,GUI-1034,Constructora Norte,Huancayo,Ica,Textiles,1707.39,96,TransPeru Cargo,1509.87,1,Entregado
2022-01-06,2022,GUI-1035,Industrias del Pacifico,Lima,Trujillo,Carga general,2227.2,528,Logistica Rapida SAC,1695,1,Entregado
2022-01-06,2022,GUI-1036,Textiles Peruanos SAC,Huancayo,Ica,Electrodomesticos,2003.55,130,Rutas Continentales SAC,1613.7,2,Entregado
2022-01-06,2022,GUI-1037,Agroexportadora del Valle,Ica,Tacna,Carga general,1484.81,1099,Logistica Rapida SAC,2535.97,4,En transito
2022-01-06,2022,GUI-1038,Distribuidora Central,Trujillo,Piura,Carga general,4372.12,674,TransPeru Cargo,2580.85,3,Entregado
2022-01-06,2022,GUI-1039,Industrias del Pacifico,Chiclayo,Trujillo,Refrigerado,2003.98,428,TransPeru Cargo,1490.28,1,Entregado
2022-01-07,2022,GUI-1040,Agroexportadora del Valle,Tacna,Arequipa,Carga general,152.32,675,TransPeru Cargo,1080.96,2,Entregado
2022-01-07,2022,GUI-1041,Comercial Andina SAC,Arequipa,Piura,Maquinaria industrial,3834.47,320,Rutas Continentales SAC,3100.9,1,Entregado
2022-01-07,2022,GUI-1042,Minera Altiplano,Iquitos,Iquitos,Electrodomesticos,156.37,49,Kargia Flota Norte,146.75,1,Entregado
2022-01-07,2022,GUI-1043,Distribuidora Central,Iquitos,Cusco,Maquinaria industrial,4505.18,399,Envios del Sur EIRL,2764.52,1,Entregado
2022-01-07,2022,GUI-1044,Distribuidora Central,Iquitos,Huancayo,Carga general,2583.07,820,Logistica Rapida SAC,2580.14,2,En transito
2022-01-07,2022,GUI-1045,Distribuidora Central,Lima,Cusco,Perecibles,3409.16,1139,Rutas Continentales SAC,3298.45,2,Entregado
2022-01-08,2022,GUI-1046,Industrias del Pacifico,Lima,Cusco,Carga general,3775.44,1156,Kargia Flota Norte,3305.56,3,Entregado
2022-01-08,2022,GUI-1047,Farmaceutica Nacional,Cusco,Arequipa,Carga general,2431.65,414,Transportes Andina SAC,1791.9,6,Retrasado
2022-01-08,2022,GUI-1048,Distribuidora Central,Ica,Piura,Carga general,874.06,752,Transportes Andina SAC,1186.38,3,Entregado
2022-01-08,2022,GUI-1049,Comercial Andina SAC,Iquitos,Huancayo,Maquinaria industrial,188.39,795,Rutas Continentales SAC,961.45,1,Entregado
2022-01-08,2022,GUI-1050,Comercial Andina SAC,Trujillo,Ica,Maquinaria industrial,1407.57,312,TransPeru Cargo,1262.95,2,Entregado
